id_nationalité1;id_nationalité2;id_nationalité3
159;0;0
159;0;0
222;0;0
45;0;0
45;0;0
45;0;0
45;0;0
216;0;0
110;0;0
185;0;0
167;0;0
44;0;0
217;0;0
217;0;0
98;0;0
69;0;0
359;0;0
145;0;0
183;0;0
153;0;0
159;0;0
153;0;0
59;0;0
159;0;0
43;0;0
43;0;0
43;0;0
159;0;0
97;0;0
38;0;0
159;0;0
183;0;0
159;0;0
183;0;0
88;0;0
78;0;0
43;0;0
43;0;0
159;0;0
11;0;0
110;0;0
153;0;0
217;0;0
231;0;0
101;0;0
136;0;0
183;0;0
153;0;0
217;0;0
19;0;0
185;0;0
78;0;0
160;0;0
58;0;0
137;0;0
45;0;0
173;0;0
153;0;0
185;0;0
160;0;0
110;0;0
185;0;0
209;0;0
233;0;0
183;0;0
78;0;0
216;0;0
185;0;0
159;0;0
183;0;0
98;0;0
185;0;0
110;0;0
183;0;0
233;0;0
186;0;0
183;0;0
183;0;0
200;0;0
110;0;0
142;0;0
43;0;0
43;0;0
45;0;0
43;0;0
233;0;0
11;0;0
159;0;0
183;0;0
61;0;0
88;0;0
61;0;0
185;0;0
45;0;0
186;0;0
205;0;0
185;0;0
233;0;0
159;0;0
159;0;0
61;0;0
110;0;0
159;0;0
216;0;0
217;0;0
110;0;0
45;0;0
185;0;0
160;0;0
69;0;0
209;0;0
185;0;0
185;0;0
185;0;0
217;0;0
43;0;0
95;0;0
209;0;0
185;0;0
209;0;0
185;0;0
233;0;0
110;0;0
185;0;0
159;0;0
6;0;0
43;0;0
43;0;0
216;0;0
130;0;0
45;0;0
94;0;0
45;0;0
110;0;0
185;0;0
185;0;0
159;0;0
61;0;0
159;0;0
217;0;0
159;0;0
43;0;0
83;0;0
209;0;0
217;0;0
217;0;0
217;0;0
217;0;0
26;0;0
75;0;0
11;0;0
11;0;0
11;0;0
11;0;0
362;0;0
11;0;0
69;0;0
99;0;0
45;0;0
359;0;0
61;0;0
78;0;0
174;0;0
183;0;0
216;0;0
101;0;0
185;0;0
110;0;0
78;0;0
233;0;0
43;0;0
78;0;0
53;0;0
53;0;0
53;0;0
160;0;0
183;0;0
53;0;0
78;0;0
199;0;0
185;0;0
139;0;0
362;0;0
159;0;0
159;0;0
45;0;0
98;0;0
45;0;0
45;0;0
45;0;0
216;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
200;0;0
200;0;0
200;0;0
95;0;0
11;0;0
45;0;0
11;0;0
139;0;0
183;0;0
186;0;0
139;0;0
183;0;0
61;0;0
61;0;0
159;0;0
11;0;0
11;0;0
43;0;0
185;0;0
185;0;0
43;0;0
45;0;0
69;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
217;0;0
185;0;0
174;0;0
75;0;0
209;0;0
98;0;0
98;0;0
98;0;0
75;0;0
98;0;0
185;0;0
185;0;0
45;0;0
98;0;0
98;0;0
98;0;0
98;0;0
98;0;0
98;0;0
137;0;0
98;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
145;0;0
98;0;0
159;0;0
83;0;0
51;0;0
110;0;0
110;0;0
61;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
21;0;0
185;0;0
185;0;0
185;0;0
69;0;0
185;0;0
185;0;0
185;0;0
185;0;0
95;0;0
69;0;0
153;0;0
43;0;0
183;0;0
183;0;0
159;0;0
159;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
26;0;0
43;0;0
43;0;0
45;0;0
209;0;0
209;0;0
43;0;0
145;0;0
98;0;0
145;0;0
43;0;0
145;0;0
145;0;0
145;0;0
145;0;0
185;0;0
159;0;0
159;0;0
159;0;0
159;0;0
160;0;0
217;0;0
362;0;0
185;0;0
92;0;0
92;0;0
92;0;0
92;0;0
92;0;0
362;0;0
145;0;0
43;0;0
43;0;0
137;0;0
43;0;0
216;0;0
43;0;0
159;0;0
69;0;0
61;0;0
76;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
185;0;0
106;0;0
159;0;0
209;0;0
159;0;0
159;0;0
159;0;0
159;0;0
185;0;0
61;0;0
183;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
67;0;0
183;0;0
61;0;0
61;0;0
185;0;0
233;0;0
61;0;0
159;0;0
69;0;0
159;0;0
159;0;0
159;0;0
159;0;0
61;0;0
159;0;0
11;0;0
159;0;0
153;0;0
88;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
233;0;0
185;0;0
159;0;0
60;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
183;0;0
69;0;0
185;0;0
159;0;0
159;0;0
159;0;0
159;0;0
185;0;0
159;0;0
159;0;0
173;0;0
216;0;0
159;0;0
159;0;0
159;0;0
159;0;0
217;0;0
159;0;0
159;0;0
26;0;0
45;0;0
159;0;0
185;0;0
185;0;0
160;0;0
45;0;0
43;0;0
43;0;0
137;0;0
43;0;0
26;0;0
98;0;0
11;0;0
61;0;0
145;0;0
11;0;0
45;0;0
94;0;0
11;0;0
11;0;0
45;0;0
233;0;0
156;0;0
101;0;0
92;0;0
138;0;0
209;0;0
362;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
159;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
45;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
186;0;0
153;0;0
183;0;0
11;0;0
145;0;0
145;0;0
145;0;0
185;0;0
43;0;0
11;0;0
145;0;0
43;0;0
43;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
43;0;0
69;0;0
69;0;0
69;0;0
160;0;0
43;0;0
145;0;0
145;0;0
145;0;0
145;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
61;0;0
43;0;0
159;0;0
159;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
145;0;0
145;0;0
43;0;0
69;0;0
186;0;0
43;0;0
45;0;0
45;0;0
145;0;0
145;0;0
159;0;0
45;0;0
159;0;0
159;0;0
159;0;0
230;0;0
69;0;0
145;0;0
145;0;0
45;0;0
45;0;0
45;0;0
45;0;0
43;0;0
60;0;0
45;0;0
145;0;0
45;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
11;0;0
209;0;0
0;0;0
11;0;0
184;0;0
43;0;0
43;0;0
43;0;0
185;0;0
61;0;0
61;0;0
185;0;0
185;0;0
138;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
216;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
101;0;0
101;0;0
45;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
43;0;0
185;0;0
139;0;0
159;0;0
11;0;0
185;0;0
88;0;0
106;0;0
43;0;0
43;0;0
43;0;0
130;0;0
362;0;0
43;0;0
45;0;0
88;0;0
183;0;0
183;0;0
11;0;0
185;0;0
69;0;0
185;0;0
185;0;0
185;0;0
45;0;0
185;0;0
185;0;0
185;0;0
69;0;0
69;0;0
69;0;0
69;0;0
69;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
45;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
185;0;0
11;0;0
69;0;0
45;0;0
45;0;0
78;0;0
174;0;0
43;0;0
185;0;0
78;0;0
78;0;0
209;0;0
209;0;0
78;0;0
110;0;0
185;0;0
43;0;0
186;0;0
186;0;0
186;0;0
45;0;0
45;0;0
159;0;0
43;0;0
159;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
185;0;0
43;0;0
29;0;0
45;0;0
45;0;0
78;0;0
11;0;0
159;0;0
8;0;0
43;0;0
43;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
78;0;0
78;0;0
43;0;0
45;0;0
45;0;0
139;0;0
43;0;0
137;0;0
137;0;0
137;0;0
43;0;0
43;0;0
88;0;0
185;0;0
61;0;0
61;0;0
159;0;0
69;0;0
98;0;0
69;0;0
43;0;0
78;0;0
222;0;0
43;0;0
185;0;0
43;0;0
139;0;0
183;0;0
43;0;0
61;0;0
61;0;0
185;0;0
186;0;0
186;0;0
186;0;0
43;0;0
11;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
183;0;0
183;0;0
183;0;0
101;0;0
43;0;0
45;0;0
11;0;0
183;0;0
43;0;0
43;0;0
43;0;0
98;0;0
98;0;0
45;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
98;0;0
98;0;0
45;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
159;0;0
45;0;0
45;0;0
69;0;0
61;0;0
183;0;0
362;0;0
8;0;0
61;0;0
61;0;0
45;0;0
137;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
69;0;0
160;0;0
43;0;0
43;0;0
61;0;0
61;0;0
138;0;0
159;0;0
186;0;0
61;0;0
61;0;0
159;0;0
159;0;0
43;0;0
43;0;0
43;0;0
69;0;0
138;0;0
183;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
43;0;0
43;0;0
61;0;0
183;0;0
183;0;0
61;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
183;0;0
61;0;0
11;0;0
92;0;0
61;0;0
61;0;0
61;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
96;0;0
43;0;0
61;0;0
88;0;0
8;0;0
61;0;0
156;0;0
159;0;0
159;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
45;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
43;0;0
43;0;0
43;0;0
43;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
362;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
43;0;0
159;0;0
159;0;0
159;0;0
359;0;0
101;0;0
185;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
157;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
98;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
185;0;0
92;0;0
153;0;0
159;0;0
61;0;0
88;0;0
43;0;0
90;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
83;0;0
61;0;0
92;0;0
11;0;0
83;0;0
43;0;0
43;0;0
43;0;0
45;0;0
44;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
43;0;0
45;0;0
45;0;0
45;0;0
45;0;0
159;0;0
159;0;0
159;0;0
209;0;0
359;0;0
159;0;0
159;0;0
110;0;0
159;0;0
159;0;0
83;0;0
157;0;0
183;0;0
43;0;0
43;0;0
43;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
159;0;0
159;0;0
45;0;0
92;0;0
83;0;0
217;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
92;0;0
59;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
32;0;0
90;0;0
359;0;0
236;0;0
159;0;0
159;0;0
160;0;0
160;0;0
160;0;0
159;0;0
92;0;0
69;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
45;0;0
45;0;0
8;0;0
8;0;0
8;0;0
8;0;0
8;0;0
8;0;0
8;0;0
8;0;0
8;0;0
43;0;0
8;0;0
8;0;0
8;0;0
8;0;0
185;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
159;0;0
159;0;0
159;0;0
15;0;0
185;0;0
43;0;0
160;0;0
159;0;0
183;0;0
156;0;0
159;0;0
45;0;0
359;0;0
53;0;0
53;0;0
53;0;0
159;0;0
159;0;0
159;0;0
235;0;0
160;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
45;0;0
185;0;0
61;0;0
61;0;0
61;0;0
61;0;0
218;0;0
83;0;0
45;0;0
45;0;0
97;0;0
217;0;0
69;0;0
45;0;0
69;0;0
217;0;0
153;0;0
159;0;0
69;0;0
45;0;0
159;0;0
159;0;0
159;0;0
160;0;0
205;0;0
88;0;0
209;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
159;0;0
160;0;0
69;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
160;0;0
83;0;0
185;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
26;0;0
45;0;0
45;0;0
45;0;0
217;0;0
159;0;0
45;0;0
45;0;0
209;0;0
160;0;0
45;0;0
159;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
83;0;0
83;0;0
61;0;0
61;0;0
61;0;0
185;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
233;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
61;0;0
160;0;0
160;0;0
160;0;0
160;0;0
160;0;0
160;0;0
160;0;0
160;0;0
26;0;0
159;0;0
159;0;0
159;0;0
98;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
159;0;0
45;0;0
183;0;0
32;0;0
216;0;0
45;0;0
26;0;0
26;0;0
69;0;0
69;0;0
233;0;0
83;0;0
43;0;0
43;0;0
43;0;0
43;0;0
166;0;0
166;0;0
422;0;0
422;0;0
159;0;0
159;0;0
159;0;0
159;0;0
160;0;0
160;0;0
160;0;0
69;0;0
45;0;0
32;0;0
217;0;0
217;0;0
160;0;0
160;0;0
160;0;0
209;0;0
69;0;0
160;0;0
160;0;0
98;0;0
45;0;0
101;0;0
43;0;0
43;0;0
43;0;0
26;0;0
26;0;0
45;0;0
130;0;0
130;0;0
130;0;0
217;0;0
83;0;0
209;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
110;0;0
94;0;0
94;0;0
94;0;0
38;0;0
38;0;0
69;0;0
175;0;0
83;0;0
78;0;0
118;0;0
69;0;0
78;0;0
159;0;0
69;0;0
216;0;0
83;0;0
214;0;0
0;0;0
45;0;0
45;0;0
45;0;0
45;0;0
217;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
14;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
45;0;0
218;0;0
173;0;0
217;0;0
101;0;0
97;0;0
185;0;0
98;0;0
45;0;0
98;0;0
217;0;0
45;0;0
98;0;0
98;0;0
95;0;0
185;0;0
159;0;0
159;0;0
209;0;0
218;0;0
217;0;0
217;0;0
97;0;0
97;0;0
11;0;0
97;0;0
217;0;0
97;0;0
97;0;0
145;0;0
97;0;0
97;0;0
217;0;0
45;0;0
60;0;0
422;0;0
93;0;0
422;0;0
69;0;0
98;0;0
98;0;0
128;0;0
98;0;0
98;0;0
98;0;0
98;0;0
98;0;0
98;0;0
83;0;0
45;0;0
96;0;0
98;0;0
94;0;0
98;0;0
185;0;0
45;0;0
45;0;0
217;0;0
45;0;0
45;0;0
45;0;0
97;0;0
45;0;0
45;0;0
45;0;0
185;0;0
43;0;0
403;0;0
97;0;0
98;0;0
45;0;0
69;0;0
43;0;0
43;0;0
138;0;0
138;0;0
98;0;0
94;0;0
45;0;0
83;0;0
45;0;0
403;0;0
61;0;0
83;0;0
61;0;0
185;0;0
83;0;0
159;0;0
61;0;0
159;0;0
159;0;0
96;0;0
45;0;0
185;0;0
61;0;0
145;0;0
61;0;0
217;0;0
145;0;0
145;0;0
61;0;0
145;0;0
45;0;0
159;0;0
45;0;0
159;0;0
159;0;0
45;0;0
217;0;0
61;0;0
145;0;0
45;0;0
218;0;0
97;0;0
97;0;0
11;0;0
11;0;0
145;0;0
58;0;0
97;0;0
145;0;0
217;0;0
159;0;0
159;0;0
61;0;0
69;0;0
75;0;0
217;0;0
97;0;0
185;0;0
61;0;0
97;0;0
185;0;0
217;0;0
97;0;0
97;0;0
110;0;0
130;0;0
11;0;0
130;0;0
185;0;0
160;0;0
160;0;0
185;0;0
97;0;0
98;0;0
95;0;0
15;0;0
185;0;0
185;0;0
98;0;0
142;0;0
45;0;0
98;0;0
216;0;0
145;0;0
45;0;0
45;0;0
45;0;0
185;0;0
97;0;0
130;0;0
217;0;0
185;0;0
45;0;0
145;0;0
185;0;0
185;0;0
145;0;0
185;0;0
45;0;0
45;0;0
145;0;0
130;0;0
130;0;0
185;0;0
45;0;0
185;0;0
185;0;0
83;0;0
185;0;0
216;0;0
145;0;0
83;0;0
209;0;0
97;0;0
160;0;0
160;0;0
160;0;0
160;0;0
216;0;0
185;0;0
217;0;0
145;0;0
205;0;0
185;0;0
185;0;0
185;0;0
110;0;0
233;0;0
216;0;0
216;0;0
216;0;0
98;0;0
403;0;0
45;0;0
160;0;0
185;0;0
216;0;0
216;0;0
185;0;0
185;0;0
145;0;0
209;0;0
209;0;0
209;0;0
145;0;0
145;0;0
138;0;0
69;0;0
139;0;0
97;0;0
97;0;0
217;0;0
217;0;0
98;0;0
183;0;0
205;0;0
49;0;0
185;0;0
139;0;0
61;0;0
185;0;0
185;0;0
97;0;0
185;0;0
185;0;0
83;0;0
145;0;0
185;0;0
110;0;0
61;0;0
185;0;0
97;0;0
185;0;0
185;0;0
83;0;0
185;0;0
61;0;0
61;0;0
83;0;0
97;0;0
83;0;0
83;0;0
185;0;0
97;0;0
61;0;0
200;0;0
83;0;0
83;0;0
83;0;0
217;0;0
83;0;0
217;0;0
61;0;0
61;0;0
83;0;0
83;0;0
61;0;0
61;0;0
83;0;0
145;0;0
159;0;0
61;0;0
83;0;0
45;0;0
159;0;0
61;0;0
217;0;0
159;0;0
185;0;0
83;0;0
185;0;0
185;0;0
110;0;0
95;0;0
159;0;0
159;0;0
185;0;0
185;0;0
159;0;0
159;0;0
45;0;0
159;0;0
83;0;0
97;0;0
159;0;0
185;0;0
145;0;0
159;0;0
185;0;0
45;0;0
61;0;0
145;0;0
185;0;0
61;0;0
61;0;0
97;0;0
155;0;0
61;0;0
61;0;0
145;0;0
110;0;0
145;0;0
110;0;0
97;0;0
145;0;0
233;0;0
233;0;0
61;0;0
97;0;0
185;0;0
45;0;0
145;0;0
110;0;0
61;0;0
83;0;0
159;0;0
233;0;0
145;0;0
185;0;0
145;0;0
145;0;0
159;0;0
185;0;0
159;0;0
159;0;0
145;0;0
45;0;0
216;0;0
61;0;0
233;0;0
145;0;0
159;0;0
145;0;0
61;0;0
83;0;0
145;0;0
45;0;0
145;0;0
61;0;0
145;0;0
145;0;0
145;0;0
217;0;0
61;0;0
61;0;0
61;0;0
145;0;0
61;0;0
61;0;0
145;0;0
233;0;0
145;0;0
233;0;0
97;0;0
61;0;0
61;0;0
45;0;0
43;0;0
61;0;0
145;0;0
145;0;0
145;0;0
59;0;0
145;0;0
160;0;0
43;0;0
43;0;0
61;0;0
145;0;0
145;0;0
43;0;0
145;0;0
159;0;0
61;0;0
61;0;0
45;0;0
45;0;0
145;0;0
69;0;0
159;0;0
185;0;0
45;0;0
45;0;0
11;0;0
145;0;0
61;0;0
45;0;0
145;0;0
145;0;0
159;0;0
185;0;0
61;0;0
185;0;0
185;0;0
185;0;0
61;0;0
11;0;0
97;0;0
139;0;0
186;0;0
145;0;0
138;0;0
145;0;0
145;0;0
45;0;0
159;0;0
45;0;0
61;0;0
45;0;0
174;0;0
138;0;0
209;0;0
159;0;0
233;0;0
110;0;0
209;0;0
233;0;0
139;0;0
209;0;0
137;0;0
186;0;0
45;0;0
168;0;0
159;0;0
209;0;0
97;0;0
209;0;0
209;0;0
83;0;0
159;0;0
61;0;0
61;0;0
97;0;0
11;0;0
11;0;0
217;0;0
75;0;0
92;0;0
11;0;0
101;0;0
98;0;0
217;0;0
45;0;0
45;0;0
130;0;0
61;0;0
130;0;0
145;0;0
130;0;0
130;0;0
45;0;0
182;0;0
160;0;0
51;0;0
11;0;0
45;0;0
160;0;0
145;0;0
130;0;0
209;0;0
185;0;0
185;0;0
209;0;0
98;0;0
145;0;0
145;0;0
78;0;0
185;0;0
45;0;0
45;0;0
98;0;0
160;0;0
205;0;0
45;0;0
65;0;0
61;0;0
45;0;0
403;0;0
403;0;0
403;0;0
403;0;0
216;0;0
216;0;0
11;0;0
61;0;0
61;0;0
83;0;0
200;0;0
61;0;0
61;0;0
145;0;0
61;0;0
61;0;0
61;0;0
200;0;0
83;0;0
83;0;0
83;0;0
83;0;0
83;0;0
209;0;0
45;0;0
61;0;0
83;0;0
61;0;0
83;0;0
83;0;0
61;0;0
83;0;0
61;0;0
145;0;0
61;0;0
61;0;0
83;0;0
83;0;0
61;0;0
83;0;0
83;0;0
61;0;0
61;0;0
159;0;0
45;0;0
359;0;0
83;0;0
83;0;0
83;0;0
159;0;0
83;0;0
45;0;0
145;0;0
83;0;0
45;0;0
159;0;0
159;0;0
145;0;0
61;0;0
45;0;0
45;0;0
145;0;0
145;0;0
145;0;0
145;0;0
61;0;0
159;0;0
216;0;0
145;0;0
159;0;0
45;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
159;0;0
159;0;0
145;0;0
159;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
61;0;0
145;0;0
145;0;0
145;0;0
159;0;0
159;0;0
61;0;0
145;0;0
45;0;0
159;0;0
145;0;0
45;0;0
145;0;0
145;0;0
145;0;0
145;0;0
159;0;0
145;0;0
145;0;0
145;0;0
159;0;0
61;0;0
61;0;0
159;0;0
43;0;0
145;0;0
159;0;0
145;0;0
145;0;0
159;0;0
145;0;0
159;0;0
145;0;0
159;0;0
145;0;0
61;0;0
145;0;0
159;0;0
145;0;0
159;0;0
145;0;0
159;0;0
145;0;0
159;0;0
145;0;0
45;0;0
145;0;0
159;0;0
217;0;0
145;0;0
61;0;0
145;0;0
145;0;0
145;0;0
145;0;0
45;0;0
61;0;0
233;0;0
145;0;0
61;0;0
45;0;0
159;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
61;0;0
145;0;0
145;0;0
145;0;0
145;0;0
159;0;0
159;0;0
159;0;0
145;0;0
159;0;0
45;0;0
61;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
45;0;0
145;0;0
145;0;0
145;0;0
145;0;0
145;0;0
83;0;0
45;0;0
45;0;0
145;0;0
45;0;0
45;0;0
159;0;0
185;0;0
45;0;0
61;0;0
61;0;0
145;0;0
61;0;0
159;0;0
183;0;0
186;0;0
213;0;0
45;0;0
0;0;0
160;0;0
183;0;0
195;0;0
147;0;0
104;0;0
92;0;0
159;0;0
45;0;0
145;0;0
159;0;0
217;0;0
83;0;0
69;0;0
216;0;0
218;0;0
15;0;0
11;0;0
217;0;0
217;0;0
199;0;0
11;0;0
98;0;0
218;0;0
218;0;0
217;0;0
217;0;0
217;0;0
11;0;0
11;0;0
218;0;0
218;0;0
217;0;0
422;0;0
218;0;0
218;0;0
218;0;0
218;0;0
11;0;0
11;0;0
218;0;0
218;0;0
75;0;0
75;0;0
217;0;0
218;0;0
94;0;0
359;0;0
43;0;0
160;0;0
11;0;0
11;0;0
185;0;0
217;0;0
75;0;0
185;0;0
217;0;0
185;0;0
185;0;0
185;0;0
11;0;0
217;0;0
217;0;0
217;0;0
11;0;0
97;0;0
11;0;0
217;0;0
217;0;0
217;0;0
185;0;0
185;0;0
11;0;0
218;0;0
11;0;0
185;0;0
216;0;0
69;0;0
217;0;0
11;0;0
11;0;0
51;0;0
69;0;0
185;0;0
43;0;0
217;0;0
185;0;0
185;0;0
217;0;0
185;0;0
45;0;0
217;0;0
11;0;0
45;0;0
159;0;0
11;0;0
185;0;0
185;0;0
185;0;0
185;0;0
69;0;0
69;0;0
217;0;0
11;0;0
185;0;0
61;0;0
185;0;0
11;0;0
11;0;0
61;0;0
216;0;0
209;0;0
